Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Page Load Timings,Firefox 109.0,,,27-05-2024 23:24:27,27-05-2024 23:25:26,59.424s,PASSED
,,,,,,,
Test Cases/Test Preferred Positions Checkboxes,Firefox 109.0,,,27-05-2024 23:24:27,27-05-2024 23:25:26,58.970s,PASSED
"ministryPreferences = [""Adult Men"", ""Adult Women"", ""Bible Teaching"", ""Worship Leader"", ""Church Planter"", ""Leadership Development"", ""Marriage & Family"", ""Missions Pastor"", ""Pastor/Associate Pastor"", ""Youth Pastor""]",Firefox 109.0,,,27-05-2024 23:24:28,27-05-2024 23:24:28,0.013s,PASSED
"openBrowser("""")",Firefox 109.0,,,27-05-2024 23:24:28,27-05-2024 23:24:42,14.158s,PASSED
"navigateToUrl(""https://journey.missionnext.org/journey-home/login-here/"")",Firefox 109.0,,,27-05-2024 23:24:42,27-05-2024 23:24:49,7.148s,PASSED
"click(findTestObject(""Object Repository/temp/i_Wordpress_eicon-close""))",Firefox 109.0,,,27-05-2024 23:24:49,27-05-2024 23:24:50,0.876s,PASSED
"setText(findTestObject(""Object Repository/temp/input_Username_log""), ""cktest01@missionnext.org"")",Firefox 109.0,,,27-05-2024 23:24:50,27-05-2024 23:24:51,0.609s,PASSED
"setEncryptedText(findTestObject(""Object Repository/temp/input_Password_pwd""), ""5lwQhML0qdMWXTXRrgjfVw=="")",Firefox 109.0,,,27-05-2024 23:24:51,27-05-2024 23:24:52,0.620s,PASSED
"click(findTestObject(""Object Repository/temp/button_Log In""))",Firefox 109.0,,,27-05-2024 23:24:52,27-05-2024 23:24:56,4.347s,PASSED
"click(findTestObject(""Object Repository/temp/a_My Profile""))",Firefox 109.0,,,27-05-2024 23:24:56,27-05-2024 23:25:02,5.671s,PASSED
"click(findTestObject(""Object Repository/temp/input_Email_profilegroup-1444754265.711email""))",Firefox 109.0,,,27-05-2024 23:25:02,27-05-2024 23:25:05,3.133s,PASSED
"click(findTestObject(""Object Repository/temp/a_Your Ministry Prefs""))",Firefox 109.0,,,27-05-2024 23:25:05,27-05-2024 23:25:05,0.407s,PASSED
"setViewPortSize(600, 1200)",Firefox 109.0,,,27-05-2024 23:25:05,27-05-2024 23:25:06,0.571s,PASSED
delay(1),Firefox 109.0,,,27-05-2024 23:25:06,27-05-2024 23:25:07,1.089s,PASSED
driver = getWebDriver(),Firefox 109.0,,,27-05-2024 23:25:07,27-05-2024 23:25:07,0.036s,PASSED
"categories = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_job_categories']""))",Firefox 109.0,,,27-05-2024 23:25:07,27-05-2024 23:25:07,0.095s,PASSED
for (def category : categories),Firefox 109.0,,,27-05-2024 23:25:07,27-05-2024 23:25:12,5.378s,PASSED
"positions = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_ministry_preferences']""))",Firefox 109.0,,,27-05-2024 23:25:12,27-05-2024 23:25:12,0.091s,PASSED
for (def position : positions),Firefox 109.0,,,27-05-2024 23:25:12,27-05-2024 23:25:24,11.564s,FAILED
closeBrowser(),Firefox 109.0,,,27-05-2024 23:25:24,27-05-2024 23:25:26,2.036s,PASSED
