"max_time_from_url","to_url","minimum_time","maximum_time","average_time","test_count","minimum_timestamp","maximum_timestamp","last_timestamp"
"https://missionnext.org/homepage/goer/positions/education-jobs/education-jobs-detail/?group=1359&jobid=4051&doing_wp_cron=1716114476.1715741157531738281250","https://missionnext.org/we-should-obey-him/","0.986","73.319","11.628",7,"2024-05-21 11:50:40","2024-05-22 10:15:30","2024-05-22 10:15:30"
"https://missionnext.org/?p=40924","https://missionnext.org/homepage/goer/positions/education-jobs/education-jobs-detail/?group=1347","2.441","58.675","9.815",8,"2024-05-22 10:18:56","2024-05-22 02:31:10","2024-05-22 10:18:56"
"https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1059&jobid=4442&doing_wp_cron=1716099204.1360719203948974609375","https://missionnext.org/homepage/goer/positions/education-jobs/education-jobs-detail/?group=1411&jobid=4589","2.337","27.48","9.054",8,"2024-05-21 08:54:49","2024-05-21 17:46:25","2024-05-22 09:42:01"
"https://missionnext.org/homepage/goer/positions/education-jobs/education-jobs-detail/?group=1381&jobid=685&doing_wp_cron=1716115795.4846920967102050781250","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1066&jobid=4699","2.494","28.761","8.973",8,"2024-05-21 23:24:30","2024-05-21 15:17:26","2024-05-22 09:53:09"
"https://missionnext.org/education-jobs-detail/?group=1340&jobid=4739","https://missionnext.org/?p=54250","1.966","28.554","8.149",9,"2024-05-21 11:28:17","2024-05-21 17:36:23","2024-05-22 09:36:36"
"","https://missionnext.org/education-jobs-detail/?group=1411&jobid=4766","2.843","31.037","7.749",9,"2024-05-21 22:52:15","2024-05-21 17:12:41","2024-05-22 09:16:31"
"https://missionnext.org/?p=33759","https://missionnext.org/education-jobs-detail/?group=1360&jobid=4837","1.995","39.504","7.117",8,"2024-05-21 15:13:22","2024-05-21 17:51:34","2024-05-22 09:50:25"
"https://missionnext.org/wait-one-more-thing-2/?doing_wp_cron=1716111056.9307971000671386718750","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1060&jobid=4183","2.644","27.218","6.903",8,"2024-05-22 10:23:48","2024-05-22 02:39:26","2024-05-22 10:23:48"
"https://missionnext.org/author/webmaster/","https://missionnext.org/?p=55056","1.637","29.484","6.891",9,"2024-05-21 14:47:32","2024-05-21 17:17:23","2024-05-22 09:18:54"
"https://missionnext.org/education-jobs-detail/?group=1411&jobid=4632&doing_wp_cron=1716124735.9482369422912597656250","https://missionnext.org/education-jobs-detail/?group=1344","1.757","28.039","6.464",8,"2024-05-21 22:13:20","2024-05-21 15:15:28","2024-05-22 09:51:59"
"https://missionnext.org/2019/04/13/","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1059&jobid=4473","2.66","27.458","6.429",8,"2024-05-21 09:36:53","2024-05-22 02:59:22","2024-05-22 10:38:11"
"https://missionnext.org/education-jobs-detail/?group=1411&view_all=Y","https://missionnext.org/education-jobs-detail/?group=1352","1.837","31.134","6.292",8,"2024-05-21 22:30:36","2024-05-22 02:23:31","2024-05-22 10:17:46"
"https://missionnext.org/?p=29965","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1059&jobid=4468","1.858","28.723","6.271",8,"2024-05-21 18:30:28","2024-05-22 02:54:24","2024-05-22 10:35:17"
"https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1066&jobid=2890","https://missionnext.org/education-jobs-detail/?group=1411&view_all=Y","3.48","23.814","6.246",8,"2024-05-21 22:30:34","2024-05-22 02:22:59","2024-05-22 10:17:43"
"https://missionnext.org/?p=58517","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1062&jobid=1883","1.237","33.523","6.158",8,"2024-05-21 18:23:50","2024-05-22 02:45:28","2024-05-22 10:27:28"
"https://missionnext.org/no-time-to-waste/?doing_wp_cron=1716107709.1602160930633544921875","https://missionnext.org/?p=40083","1.161","28.836","6.094",8,"2024-05-21 11:36:20","2024-05-21 17:52:32","2024-05-22 09:51:05"
"https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1066&jobid=4700&doing_wp_cron=1716102756.7337770462036132812500","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1066&jobid=4585","2.463","27.038","6.048",8,"2024-05-21 11:26:52","2024-05-21 17:33:26","2024-05-21 23:05:06"
"https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1066&jobid=4423&doing_wp_cron=1716101935.8096439838409423828125","https://missionnext.org/education-jobs-detail/?group=1340&jobid=4821","2.129","31.51","6.041",9,"2024-05-21 11:25:34","2024-05-21 17:30:30","2024-05-22 09:26:40"
"https://missionnext.org/education-jobs-detail/?group=1328&view_all=Y","https://missionnext.org/education-jobs-detail/?group=1340&jobid=4849","2.319","28.001","6.021",8,"2024-05-22 10:34:03","2024-05-22 02:52:22","2024-05-22 10:34:03"
"https://missionnext.org/?p=27886","https://missionnext.org/education-jobs-detail/?group=1383&jobid=1444","1.86","26.072","5.999",8,"2024-05-21 15:11:43","2024-05-21 17:49:21","2024-05-22 09:49:06"
"https://missionnext.org/homepage/goer/positions/education-jobs/education-jobs-detail/?group=1332&jobid=4761","https://missionnext.org/homepage/goer/positions/journey-jobs/journey-jobs-detail/?group=1007&jobid=1855","1.619","27.836","5.99",8,"2024-05-21 09:36:18","2024-05-22 02:58:22","2024-05-22 10:37:34"
