Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Page Load Timings,Chrome 125.0.0.0,,,27-05-2024 23:15:04,27-05-2024 23:15:42,37.988s,PASSED
,,,,,,,
Test Cases/Test Preferred Positions Checkboxes,Chrome 125.0.0.0,,,27-05-2024 23:15:04,27-05-2024 23:15:42,37.438s,PASSED
"ministryPreferences = [""Adult Men"", ""Adult Women"", ""Bible Teaching"", ""Worship Leader"", ""Church Planter"", ""Leadership Development"", ""Marriage & Family"", ""Missions Pastor"", ""Pastor/Associate Pastor"", ""Youth Pastor""]",Chrome 125.0.0.0,,,27-05-2024 23:15:06,27-05-2024 23:15:06,0.022s,PASSED
"callTestCase(findTestCase(""_Functions/Open Chrome Browser - No Analytics""), [""dropDownOption"":""QuickStart""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,27-05-2024 23:15:06,27-05-2024 23:15:14,7.961s,PASSED
"navigateToUrl(""https://journey.missionnext.org/journey-home/login-here/"")",Chrome 125.0.0.0,,,27-05-2024 23:15:14,27-05-2024 23:15:17,3.072s,PASSED
"click(findTestObject(""Object Repository/temp/i_Wordpress_eicon-close""))",Chrome 125.0.0.0,,,27-05-2024 23:15:17,27-05-2024 23:15:17,0.694s,PASSED
"setText(findTestObject(""Object Repository/temp/input_Username_log""), ""cktest01@missionnext.org"")",Chrome 125.0.0.0,,,27-05-2024 23:15:17,27-05-2024 23:15:19,1.364s,PASSED
"setEncryptedText(findTestObject(""Object Repository/temp/input_Password_pwd""), ""5lwQhML0qdMWXTXRrgjfVw=="")",Chrome 125.0.0.0,,,27-05-2024 23:15:19,27-05-2024 23:15:19,0.335s,PASSED
"click(findTestObject(""Object Repository/temp/button_Log In""))",Chrome 125.0.0.0,,,27-05-2024 23:15:19,27-05-2024 23:15:24,4.817s,PASSED
"click(findTestObject(""Object Repository/temp/a_My Profile""))",Chrome 125.0.0.0,,,27-05-2024 23:15:24,27-05-2024 23:15:28,4.479s,PASSED
"click(findTestObject(""Object Repository/temp/input_Email_profilegroup-1444754265.711email""))",Chrome 125.0.0.0,,,27-05-2024 23:15:28,27-05-2024 23:15:29,0.458s,PASSED
"click(findTestObject(""Object Repository/temp/a_Your Ministry Prefs""))",Chrome 125.0.0.0,,,27-05-2024 23:15:29,27-05-2024 23:15:29,0.332s,PASSED
"setViewPortSize(600, 1200)",Chrome 125.0.0.0,,,27-05-2024 23:15:29,27-05-2024 23:15:30,1.035s,PASSED
delay(1),Chrome 125.0.0.0,,,27-05-2024 23:15:30,27-05-2024 23:15:31,1.034s,PASSED
driver = getWebDriver(),Chrome 125.0.0.0,,,27-05-2024 23:15:31,27-05-2024 23:15:31,0.016s,PASSED
"categories = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_job_categories']""))",Chrome 125.0.0.0,,,27-05-2024 23:15:31,27-05-2024 23:15:31,0.061s,PASSED
for (def category : categories),Chrome 125.0.0.0,,,27-05-2024 23:15:31,27-05-2024 23:15:34,2.950s,PASSED
"positions = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_ministry_preferences']""))",Chrome 125.0.0.0,,,27-05-2024 23:15:34,27-05-2024 23:15:34,0.081s,PASSED
for (def position : positions),Chrome 125.0.0.0,,,27-05-2024 23:15:34,27-05-2024 23:15:41,6.714s,FAILED
closeBrowser(),Chrome 125.0.0.0,,,27-05-2024 23:15:41,27-05-2024 23:15:42,0.750s,PASSED
