Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Page Load Timings,Chrome 125.0.0.0,,,27-05-2024 23:04:55,27-05-2024 23:05:40,44.852s,PASSED
,,,,,,,
Test Cases/Test Preferred Positions Checkboxes,Chrome 125.0.0.0,,,27-05-2024 23:04:55,27-05-2024 23:05:40,44.450s,PASSED
"ministryPreferences = [""Adult Men"", ""Adult Women"", ""Bible Teaching"", ""Worship Leader"", ""Church Planter"", ""Leadership Development"", ""Marriage & Family"", ""Missions Pastor"", ""Pastor/Associate Pastor"", ""Youth Pastor""]",Chrome 125.0.0.0,,,27-05-2024 23:04:56,27-05-2024 23:04:56,0.008s,PASSED
"callTestCase(findTestCase(""_Functions/Open Chrome Browser - No Analytics""), [""dropDownOption"":""QuickStart""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,27-05-2024 23:04:56,27-05-2024 23:05:09,12.402s,PASSED
"navigateToUrl(""https://journey.missionnext.org/journey-home/login-here/"")",Chrome 125.0.0.0,,,27-05-2024 23:05:09,27-05-2024 23:05:13,4.112s,PASSED
"click(findTestObject(""Object Repository/temp/i_Wordpress_eicon-close""))",Chrome 125.0.0.0,,,27-05-2024 23:05:13,27-05-2024 23:05:14,0.834s,PASSED
"setText(findTestObject(""Object Repository/temp/input_Username_log""), ""cktest01@missionnext.org"")",Chrome 125.0.0.0,,,27-05-2024 23:05:14,27-05-2024 23:05:14,0.905s,PASSED
"setEncryptedText(findTestObject(""Object Repository/temp/input_Password_pwd""), ""5lwQhML0qdMWXTXRrgjfVw=="")",Chrome 125.0.0.0,,,27-05-2024 23:05:14,27-05-2024 23:05:15,0.360s,PASSED
"click(findTestObject(""Object Repository/temp/button_Log In""))",Chrome 125.0.0.0,,,27-05-2024 23:05:15,27-05-2024 23:05:20,5.261s,PASSED
"click(findTestObject(""Object Repository/temp/a_My Profile""))",Chrome 125.0.0.0,,,27-05-2024 23:05:20,27-05-2024 23:05:26,5.661s,PASSED
"click(findTestObject(""Object Repository/temp/input_Email_profilegroup-1444754265.711email""))",Chrome 125.0.0.0,,,27-05-2024 23:05:26,27-05-2024 23:05:26,0.385s,PASSED
"click(findTestObject(""Object Repository/temp/a_Your Ministry Prefs""))",Chrome 125.0.0.0,,,27-05-2024 23:05:26,27-05-2024 23:05:27,0.832s,PASSED
"setViewPortSize(600, 1200)",Chrome 125.0.0.0,,,27-05-2024 23:05:27,27-05-2024 23:05:28,1.262s,PASSED
delay(1),Chrome 125.0.0.0,,,27-05-2024 23:05:28,27-05-2024 23:05:29,1.035s,PASSED
driver = getWebDriver(),Chrome 125.0.0.0,,,27-05-2024 23:05:29,27-05-2024 23:05:29,0.003s,PASSED
"categories = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_job_categories']""))",Chrome 125.0.0.0,,,27-05-2024 23:05:29,27-05-2024 23:05:29,0.097s,PASSED
for (def category : categories),Chrome 125.0.0.0,,,27-05-2024 23:05:29,27-05-2024 23:05:32,2.731s,PASSED
"positions = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_ministry_preferences']""))",Chrome 125.0.0.0,,,27-05-2024 23:05:32,27-05-2024 23:05:32,0.089s,PASSED
for (def position : positions),Chrome 125.0.0.0,,,27-05-2024 23:05:32,27-05-2024 23:05:39,6.694s,FAILED
closeBrowser(),Chrome 125.0.0.0,,,27-05-2024 23:05:39,27-05-2024 23:05:40,0.635s,PASSED
