Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Page Load Timings,Chrome 125.0.0.0,,,27-05-2024 23:10:36,27-05-2024 23:11:18,41.828s,PASSED
,,,,,,,
Test Cases/Test Preferred Positions Checkboxes,Chrome 125.0.0.0,,,27-05-2024 23:10:36,27-05-2024 23:11:18,41.460s,PASSED
"ministryPreferences = [""Adult Men"", ""Adult Women"", ""Bible Teaching"", ""Worship Leader"", ""Church Planter"", ""Leadership Development"", ""Marriage & Family"", ""Missions Pastor"", ""Pastor/Associate Pastor"", ""Youth Pastor""]",Chrome 125.0.0.0,,,27-05-2024 23:10:37,27-05-2024 23:10:37,0.015s,PASSED
"callTestCase(findTestCase(""_Functions/Open Chrome Browser - No Analytics""), [""dropDownOption"":""QuickStart""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,27-05-2024 23:10:37,27-05-2024 23:10:48,10.501s,PASSED
"navigateToUrl(""https://journey.missionnext.org/journey-home/login-here/"")",Chrome 125.0.0.0,,,27-05-2024 23:10:48,27-05-2024 23:10:51,3.273s,PASSED
"click(findTestObject(""Object Repository/temp/i_Wordpress_eicon-close""))",Chrome 125.0.0.0,,,27-05-2024 23:10:51,27-05-2024 23:10:52,0.947s,PASSED
"setText(findTestObject(""Object Repository/temp/input_Username_log""), ""cktest01@missionnext.org"")",Chrome 125.0.0.0,,,27-05-2024 23:10:52,27-05-2024 23:10:53,0.896s,PASSED
"setEncryptedText(findTestObject(""Object Repository/temp/input_Password_pwd""), ""5lwQhML0qdMWXTXRrgjfVw=="")",Chrome 125.0.0.0,,,27-05-2024 23:10:53,27-05-2024 23:10:53,0.369s,PASSED
"click(findTestObject(""Object Repository/temp/button_Log In""))",Chrome 125.0.0.0,,,27-05-2024 23:10:53,27-05-2024 23:10:58,5.210s,PASSED
"click(findTestObject(""Object Repository/temp/a_My Profile""))",Chrome 125.0.0.0,,,27-05-2024 23:10:58,27-05-2024 23:11:04,5.764s,PASSED
"click(findTestObject(""Object Repository/temp/input_Email_profilegroup-1444754265.711email""))",Chrome 125.0.0.0,,,27-05-2024 23:11:04,27-05-2024 23:11:05,0.588s,PASSED
"click(findTestObject(""Object Repository/temp/a_Your Ministry Prefs""))",Chrome 125.0.0.0,,,27-05-2024 23:11:05,27-05-2024 23:11:05,0.275s,PASSED
"setViewPortSize(600, 1200)",Chrome 125.0.0.0,,,27-05-2024 23:11:05,27-05-2024 23:11:06,1.006s,PASSED
delay(1),Chrome 125.0.0.0,,,27-05-2024 23:11:06,27-05-2024 23:11:07,1.033s,PASSED
driver = getWebDriver(),Chrome 125.0.0.0,,,27-05-2024 23:11:07,27-05-2024 23:11:07,0.004s,PASSED
"categories = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_job_categories']""))",Chrome 125.0.0.0,,,27-05-2024 23:11:07,27-05-2024 23:11:07,0.116s,PASSED
for (def category : categories),Chrome 125.0.0.0,,,27-05-2024 23:11:07,27-05-2024 23:11:10,2.841s,PASSED
"positions = driver.findElements(By.xpath(""//input[@id='profile_group-1623987608.435_ministry_preferences']""))",Chrome 125.0.0.0,,,27-05-2024 23:11:10,27-05-2024 23:11:10,0.075s,PASSED
for (def position : positions),Chrome 125.0.0.0,,,27-05-2024 23:11:10,27-05-2024 23:11:17,6.538s,FAILED
closeBrowser(),Chrome 125.0.0.0,,,27-05-2024 23:11:17,27-05-2024 23:11:18,0.863s,PASSED
